,Month,Day,Rainfall,Perca,CumRain
101,4,11,93.96,0.12451577199778635,6.8631301855067655
102,4,12,135.93,0.18013440706320882,7.043264592569974
103,4,13,209.19,0.27721854346761315,7.320483136037588
104,4,14,122.03,0.16171413002224214,7.4821972660598295
105,4,15,30.37,0.04024631753483155,7.5224435835946615
106,4,16,255.67,0.33881382957294637,7.861257413167608
107,4,17,77.4,0.10257046352308073,7.963827876690688
108,4,18,174.2,0.2308498029162876,8.194677679606976
109,4,19,349.35,0.4629585456303392,8.657636225237315
110,4,20,164.4,0.21786284500251257,8.875499070239828
111,4,21,221.66,0.29374378481299834,9.169242855052826
112,4,22,314.56,0.4168548450364376,9.586097700089264
113,4,23,154.64,0.20492889508022227,9.791026595169486
114,4,24,129.19,0.17120256049802066,9.962229155667506
115,4,25,126.34,0.16742574110472894,10.129654896772236
116,4,26,238.63,0.3162324252004232,10.44588732197266
117,4,27,229.89,0.3046501790609952,10.750537501033655
118,4,28,368.97,0.4889589654536318,11.239496466487287
119,4,29,308.9,0.40935421424133894,11.648850680728627
120,4,30,243.83,0.3231234640934467,11.971974144822074
121,5,1,284.22,0.3766482834952197,12.348622428317293
122,5,2,225.67,0.2990578359593492,12.647680264276643
123,5,3,317.0,0.4200883325170103,13.067768596793654
124,5,4,261.89,0.3470565722488322,13.414825169042485
125,5,5,215.06,0.28499746621800703,13.699822635260492
126,5,6,137.44,0.18213545874175988,13.881958094002252
127,5,7,224.21,0.2971230442701542,14.179081138272407
128,5,8,143.16,0.18971560152408576,14.368796739796492
129,5,9,238.21,0.31567584128983284,14.684472581086325
130,5,10,245.14,0.32485947581457375,15.009332056900899
131,5,11,355.31,0.4708567363615739,15.480188793262473
132,5,12,183.84,0.24362472886412354,15.723813522126596
133,5,13,249.45,0.33057108689706055,16.054384609023657
134,5,14,211.7,0.2805447949332841,16.33492940395694
135,5,15,297.49,0.39423368467030084,16.729163088627242
136,5,16,216.55,0.28697201390081567,17.016135102528057
137,5,17,125.59,0.166431841264389,17.182566943792445
138,5,18,405.5,0.5373685136771219,17.719935457469568
139,5,19,108.92,0.14434076081310018,17.86427621828267
140,5,20,222.22,0.2944858966937855,18.158762114976454
141,5,21,211.87,0.28077007889709454,18.43953219387355
142,5,22,300.24,0.3978779840848806,18.837410177958432
143,5,23,329.12,0.43614975393690353,19.273559931895335
144,5,24,144.22,0.19112031329843288,19.46468024519377
145,5,25,354.47,0.4697435685403931,19.934423813734163
146,5,26,214.92,0.2848119382478102,20.219235751981973
147,5,27,203.49,0.2696649046810297,20.488900656663002
148,5,28,235.5,0.3120845498667379,20.80098520652974
149,5,29,212.53,0.28164471075659364,21.082629917286337
150,5,30,229.25,0.30380205119723847,21.386431968483574
151,5,31,465.71,0.6171587928596114,22.003590761343187
152,6,1,408.5,0.5413441130384816,22.544934874381667
153,6,2,396.5,0.5254417155930428,23.07037658997471
154,6,3,285.92,0.3789011231333236,23.449277713108035
155,6,4,363.38,0.4815510986436315,23.930828811751667
156,6,5,242.11,0.3208441204596005,24.251672932211267
157,6,6,350.68,0.4647210613472087,24.716393993558476
158,6,7,420.36,0.5570609825137237,25.273454976072202
159,6,8,408.9,0.5418741929533295,25.81532916902553
160,6,9,343.83,0.4556434428054373,26.27097261183097
161,6,10,283.55,0.3757603996378494,26.646733011468818
162,6,11,318.27000000000004,0.42177133624665253,27.06850434771547
163,6,12,254.01,0.3366139979263273,27.4051183456418
164,6,13,243.82,0.3231102120955755,27.728228557737374
165,6,14,323.1,0.42817205121844165,28.156400608955817
166,6,15,329.96,0.4372629217580842,28.5936635307139
167,6,16,412.53,0.5466846681805748,29.140348198894475
168,6,17,396.13,0.5249513916718084,29.665299590566285
169,6,18,348.21,0.4614478178730225,30.126747408439307
170,6,19,568.3,0.7531110390202426,30.87985844745955
171,6,20,490.84,0.6504610635099346,31.530319510969484
172,6,21,324.94,0.43061041882674234,31.960929929796226
173,6,22,380.39,0.504092747022541,32.46502267681877
